dataset,target,target_type,family,cfg,seed,note,method,k,compat_on_U,compat_on_Uhat,test_bal
rafdb,compat_A,compat,tree,depth=6,2,compat_5fam,adv2attr_lam03,4,0.7743830483291466,0.802359129976748,0.802359129976748
rafdb,compat_A,compat,tree,depth=6,2,compat_5fam,leace2attr,768,0.7743830483291466,0.7607144270885604,0.7607144270885604
rafdb,compat_A,compat,knn,k=15,2,compat_5fam,lda_shrink,4,0.6683565184802756,0.7340507358176069,0.7340507358176069
rafdb,compat_A,compat,knn,k=15,2,compat_5fam,vib_b1,4,0.6683565184802756,0.6718808186863192,0.6718808186863192
rafdb,compat_A,compat,knn,k=15,2,compat_5fam,adv2attr_lam03,4,0.6683565184802756,0.6455922410470818,0.6455922410470818
rafdb,compat_A,compat,knn,k=15,2,compat_5fam,leace2attr,768,0.6683565184802756,0.668158845591607,0.668158845591607
rafdb,compat_A,compat,knn,k=50,2,compat_5fam,lda_shrink,4,0.60532359754758,0.7187226717838822,0.7187226717838822
rafdb,compat_A,compat,knn,k=50,2,compat_5fam,vib_b1,4,0.60532359754758,0.6618309977228563,0.6618309977228563
rafdb,compat_A,compat,knn,k=50,2,compat_5fam,adv2attr_lam03,4,0.60532359754758,0.6297846364743277,0.6297846364743277
rafdb,compat_A,compat,knn,k=50,2,compat_5fam,leace2attr,768,0.60532359754758,0.6174879271327098,0.6174879271327098
rafdb,compat_B_gender,compat,lr,wd=1e-05,0,compat_5fam,lda_shrink,4,0.9368687542626694,0.5637072621059811,0.5637072621059811
rafdb,compat_B_gender,compat,lr,wd=1e-05,0,compat_5fam,vib_b1,4,0.9368687542626694,0.565721218950469,0.565721218950469
rafdb,compat_B_gender,compat,lr,wd=1e-05,0,compat_5fam,adv2attr_lam03,4,0.9368687542626694,0.5479116626634641,0.5479116626634641
rafdb,compat_B_gender,compat,lr,wd=1e-05,0,compat_5fam,leace2attr,768,0.9368687542626694,0.45817567634354395,0.45817567634354395
rafdb,compat_B_gender,compat,lr,wd=0.001,0,compat_5fam,lda_shrink,4,0.9368687542626694,0.5637072621059811,0.5637072621059811
rafdb,compat_B_gender,compat,lr,wd=0.001,0,compat_5fam,vib_b1,4,0.9368687542626694,0.565721218950469,0.565721218950469
rafdb,compat_B_gender,compat,lr,wd=0.001,0,compat_5fam,adv2attr_lam03,4,0.9368687542626694,0.5479116626634641,0.5479116626634641
rafdb,compat_B_gender,compat,lr,wd=0.001,0,compat_5fam,leace2attr,768,0.9368687542626694,0.45817567634354395,0.45817567634354395
rafdb,compat_B_gender,compat,lr,wd=0.1,0,compat_5fam,lda_shrink,4,0.9364684340064644,0.564107582362186,0.564107582362186
rafdb,compat_B_gender,compat,lr,wd=0.1,0,compat_5fam,vib_b1,4,0.9364684340064644,0.565721218950469,0.565721218950469
rafdb,compat_B_gender,compat,lr,wd=0.1,0,compat_5fam,adv2attr_lam03,4,0.9364684340064644,0.5486542320275974,0.5486542320275974
rafdb,compat_B_gender,compat,lr,wd=0.1,0,compat_5fam,leace2attr,768,0.9364684340064644,0.4608617758404254,0.4608617758404254
rafdb,compat_B_gender,compat,mlp,"h=256,seed=0",0,compat_5fam,lda_shrink,4,0.9320649111882098,0.5522380867657088,0.5522380867657088
rafdb,compat_B_gender,compat,mlp,"h=256,seed=0",0,compat_5fam,vib_b1,4,0.9320649111882098,0.5537051863713193,0.5537051863713193
rafdb,compat_B_gender,compat,mlp,"h=256,seed=0",0,compat_5fam,adv2attr_lam03,4,0.9320649111882098,0.5416098310747364,0.5416098310747364
rafdb,compat_B_gender,compat,mlp,"h=256,seed=0",0,compat_5fam,leace2attr,768,0.9320649111882098,0.5551994682165485,0.5551994682165485
rafdb,compat_B_gender,compat,mlp,"h=256,seed=1",0,compat_5fam,lda_shrink,4,0.933733406478269,0.5616530261246034,0.5616530261246034
rafdb,compat_B_gender,compat,mlp,"h=256,seed=1",0,compat_5fam,vib_b1,4,0.933733406478269,0.556947286224041,0.556947286224041
rafdb,compat_B_gender,compat,mlp,"h=256,seed=1",0,compat_5fam,adv2attr_lam03,4,0.933733406478269,0.5435867212288349,0.5435867212288349
rafdb,compat_B_gender,compat,mlp,"h=256,seed=1",0,compat_5fam,leace2attr,768,0.933733406478269,0.5609139163182398,0.5609139163182398
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=0",0,compat_5fam,lda_shrink,4,0.9341001196018544,0.5519630519230199,0.5519630519230199
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=0",0,compat_5fam,vib_b1,4,0.9341001196018544,0.5618032697763149,0.5618032697763149
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=0",0,compat_5fam,adv2attr_lam03,4,0.9341001196018544,0.5416251519734305,0.5416251519734305
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=0",0,compat_5fam,leace2attr,768,0.9341001196018544,0.5846029910348032,0.5846029910348032
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=1",0,compat_5fam,lda_shrink,4,0.9359519714537061,0.5618124128932775,0.5618124128932775
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=1",0,compat_5fam,vib_b1,4,0.9359519714537061,0.5750476924749677,0.5750476924749677
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=1",0,compat_5fam,adv2attr_lam03,4,0.9359519714537061,0.5467532050331623,0.5467532050331623
rafdb,compat_B_gender,compat,mlp,"h=1024,seed=1",0,compat_5fam,leace2attr,768,0.9359519714537061,0.5774582629066216,0.5774582629066216
rafdb,compat_B_gender,compat,rff,gamma x0.5,0,compat_5fam,lda_shrink,4,0.9417642756180253,0.5597769573683639,0.5597769573683639
rafdb,compat_B_gender,compat,rff,gamma x0.5,0,compat_5fam,vib_b1,4,0.9417642756180253,0.5588176714210875,0.5588176714210875
rafdb,compat_B_gender,compat,rff,gamma x0.5,0,compat_5fam,adv2attr_lam03,4,0.9417642756180253,0.5297593630459924,0.5297593630459924
rafdb,compat_B_gender,compat,rff,gamma x0.5,0,compat_5fam,leace2attr,768,0.9417642756180253,0.5601041326888672,0.5601041326888672
rafdb,compat_B_gender,compat,rff,gamma x2.0,0,compat_5fam,lda_shrink,4,0.9207368363826864,0.5314696201405569,0.5314696201405569
rafdb,compat_B_gender,compat,rff,gamma x2.0,0,compat_5fam,vib_b1,4,0.9207368363826864,0.5265283832003874,0.5265283832003874
rafdb,compat_B_gender,compat,rff,gamma x2.0,0,compat_5fam,adv2attr_lam03,4,0.9207368363826864,0.5202789392007433,0.5202789392007433
rafdb,compat_B_gender,compat,rff,gamma x2.0,0,compat_5fam,leace2attr,768,0.9207368363826864,0.6005149798851427,0.6005149798851427
rafdb,compat_B_gender,compat,tree,depth=None,0,compat_5fam,lda_shrink,4,0.937052110824462,0.5529739841255721,0.5529739841255721
rafdb,compat_B_gender,compat,tree,depth=None,0,compat_5fam,vib_b1,4,0.937052110824462,0.5485828168707806,0.5485828168707806
rafdb,compat_B_gender,compat,tree,depth=None,0,compat_5fam,adv2attr_lam03,4,0.937052110824462,0.5362430685288971,0.5362430685288971
rafdb,compat_B_gender,compat,tree,depth=None,0,compat_5fam,leace2attr,768,0.937052110824462,0.49846370923899613,0.49846370923899613
rafdb,compat_B_gender,compat,tree,depth=6,0,compat_5fam,lda_shrink,4,0.9384119641392126,0.5558068677163953,0.5558068677163953
rafdb,compat_B_gender,compat,tree,depth=6,0,compat_5fam,vib_b1,4,0.9384119641392126,0.5541324417558738,0.5541324417558738
