setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
DINOv2-L,dinol,emotion,1024,4,2,A_kept,mlp,"h=256,seed=0",0.9011700793982449,0.8962810439702725,0.8407407407407408,0.7828422940801811,1.308112621307373
DINOv2-L,dinol,emotion,1024,4,2,A_kept,mlp,"h=256,seed=1",0.8962599247806101,0.8930508219870223,0.8300411522633745,0.7711126118336609,1.2930018901824951
DINOv2-L,dinol,emotion,1024,4,2,A_kept,mlp,"h=1024,seed=0",0.9055578771416631,0.8998623701214793,0.8436213991769548,0.7862464613169873,2.6645009517669678
DINOv2-L,dinol,emotion,1024,4,2,A_kept,mlp,"h=1024,seed=1",0.8857083159214375,0.8955487045581092,0.820164609053498,0.7738004114668775,2.6696925163269043
DINOv2-L,dinol,emotion,1024,4,2,A_kept,rff,gamma x0.5,0.9005432511491851,0.8802889779443015,0.8432098765432099,0.7829512439334845,1.565537691116333
DINOv2-L,dinol,emotion,1024,4,2,A_kept,rff,gamma x2.0,0.9002298370246552,0.8873036481489157,0.8378600823045268,0.7804188153832753,0.37276530265808105
DINOv2-L,dinol,emotion,1024,4,2,A_kept,tree,"depth=None,it=26",0.9695988299206018,0.9732322221278868,0.8633744855967078,0.7809244438710332,83.6991958618164
DINOv2-L,dinol,emotion,1024,4,2,A_kept,tree,"depth=6,it=30",0.9518386961972419,0.9607998986454905,0.8567901234567902,0.7739467688241207,82.0930712223053
DINOv2-L,dinol,emotion,1024,4,2,A_kept,knn,k=15,1.0,1.0,0.8728395061728395,0.7677482437848508,1.3114781379699707
DINOv2-L,dinol,emotion,1024,4,2,A_kept,knn,k=50,1.0,1.0,0.8753086419753087,0.7680712167361883,1.2872939109802246
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,lr,wd=1e-05,0.56168951463505,0.576496699022021,0.6065830721003135,0.6043933054393305,0.3250010013580322
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,lr,wd=0.001,0.560577991848833,0.5748497284486459,0.6065830721003135,0.6043933054393305,0.21155929565429688
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,lr,wd=0.1,0.5924416450537237,0.5774065614238044,0.5893416927899686,0.5575444560669456,0.1981661319732666
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,mlp,"h=256,seed=0",0.6135605779918488,0.645640612091811,0.622257053291536,0.6522751046025105,0.5770015716552734
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,mlp,"h=256,seed=1",0.6346795109299741,0.6426619210270397,0.6206896551724138,0.6304393305439331,0.5579218864440918
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,mlp,"h=1024,seed=0",0.6157836235642831,0.6493796328743912,0.5877742946708464,0.6251046025104603,0.8381891250610352
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,mlp,"h=1024,seed=1",0.6550574286772879,0.6400688483661179,0.6144200626959248,0.5825967573221758,0.8419463634490967
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,rff,gamma x0.5,0.6017043349388662,0.6237704894961207,0.6144200626959248,0.6262552301255231,0.912480354309082
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,rff,gamma x2.0,0.6565394590589108,0.6695630267948496,0.6300940438871473,0.6325575313807531,0.2485346794128418
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,tree,"depth=None,it=15",0.8303075213041867,0.8386169387809673,0.6630094043887147,0.5963127615062762,67.85515713691711
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,tree,"depth=6,it=19",0.7932567617636161,0.812499736118793,0.6489028213166145,0.6035303347280334,67.93414521217346
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,knn,k=15,1.0,1.0,0.7366771159874608,0.5311323221757323,0.18900203704833984
DINOv2-L,dinol,emotion,1024,4,2,Aprime_heldout,knn,k=50,1.0,1.0,0.7633228840125392,0.532282949790795,0.1880028247833252
DINOv2-L,dinol,emotion,1024,4,2,B_gender,lr,wd=1e-05,0.570275197499783,0.5593247924223912,0.5639595677936563,0.554389684587176,0.4059422016143799
DINOv2-L,dinol,emotion,1024,4,2,B_gender,lr,wd=0.001,0.570275197499783,0.5593247924223912,0.5639595677936563,0.554389684587176,0.22699809074401855
DINOv2-L,dinol,emotion,1024,4,2,B_gender,lr,wd=0.1,0.570275197499783,0.5593247924223912,0.5639595677936563,0.554389684587176,0.22600007057189941
DINOv2-L,dinol,emotion,1024,4,2,B_gender,mlp,"h=256,seed=0",0.6070839482593975,0.573301330177718,0.5946322760543743,0.5655981575383764,1.4653639793395996
DINOv2-L,dinol,emotion,1024,4,2,B_gender,mlp,"h=256,seed=1",0.6033509853285876,0.5766614370941514,0.5918438480306727,0.5689964317132719,1.4578473567962646
DINOv2-L,dinol,emotion,1024,4,2,B_gender,mlp,"h=1024,seed=0",0.5819081517492838,0.5794529079310968,0.5695364238410596,0.5706960630232581,3.1793053150177
DINOv2-L,dinol,emotion,1024,4,2,B_gender,mlp,"h=1024,seed=1",0.6064762566194982,0.5720278208502908,0.597420704078076,0.5675172236554675,3.185694456100464
DINOv2-L,dinol,emotion,1024,4,2,B_gender,rff,gamma x0.5,0.584338918308881,0.5703856887612007,0.5887068665040084,0.577586760766638,1.8519091606140137
DINOv2-L,dinol,emotion,1024,4,2,B_gender,rff,gamma x2.0,0.59510374164424,0.5841021415689713,0.5806901359358662,0.5731466654805326,0.4275326728820801
