dataset,target,family,cfg,seed,f,method,note,on_U,on_Uhat_real,on_Uhat_f,rel_err,delta
rafdb,compat_B_age,tree,depth=6,1,16,lda_shrink,compat_quant,0.7476141269122883,0.22802268663013409,0.22802268663013409,3.198943260514137e-05,0.0
rafdb,compat_B_age,knn,k=15,1,16,lda_shrink,compat_quant,0.6924107886999872,0.2057428885987147,0.2057428885987147,3.198943260514137e-05,0.0
rafdb,compat_B_age,knn,k=50,1,16,lda_shrink,compat_quant,0.6553246814197251,0.20610389942903962,0.20610389942903962,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=1e-05,2,16,lda_shrink,compat_quant,0.7553481643236394,0.22683473590299555,0.22683473590299555,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.001,2,16,lda_shrink,compat_quant,0.7553481643236394,0.22683473590299555,0.22683473590299555,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.1,2,16,lda_shrink,compat_quant,0.7574063283988555,0.2265465629274733,0.2265465629274733,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=256,seed=0",2,16,lda_shrink,compat_quant,0.7460216418549872,0.235748228431966,0.235748228431966,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=256,seed=1",2,16,lda_shrink,compat_quant,0.7559958824237556,0.22817117381227567,0.22817117381227567,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=0",2,16,lda_shrink,compat_quant,0.7582059199115622,0.23537978939525578,0.23537978939525578,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=1",2,16,lda_shrink,compat_quant,0.753195448968228,0.2325027474005569,0.2325027474005569,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x0.5,2,16,lda_shrink,compat_quant,0.7777808513820661,0.21420000200058467,0.21420000200058467,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x2.0,2,16,lda_shrink,compat_quant,0.7629428765081276,0.21221782507917553,0.21221782507917553,3.198943260514137e-05,0.0
rafdb,compat_B_age,tree,depth=None,2,16,lda_shrink,compat_quant,0.7509490825176751,0.2354210854876464,0.23554142243108797,3.198943260514137e-05,0.00012033694344157353
rafdb,compat_B_age,tree,depth=6,2,16,lda_shrink,compat_quant,0.7491384991177618,0.22591689370047258,0.22579655675703095,3.198943260514137e-05,-0.00012033694344162904
rafdb,compat_B_age,knn,k=15,2,16,lda_shrink,compat_quant,0.6924107886999872,0.2057428885987147,0.2057428885987147,3.198943260514137e-05,0.0
rafdb,compat_B_age,knn,k=50,2,16,lda_shrink,compat_quant,0.6553246814197251,0.20610389942903962,0.20610389942903962,3.198943260514137e-05,0.0
