f,seed,target,n_classes,chance_balanced,abs_err,rel_err,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.8197492163009404,0.7175470711297072,0.11246204376220703
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.8181818181818182,0.7019482217573222,0.14450383186340332
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.5606389443528084,0.5507683204482658,0.5663994423143952,0.5574669612232996,0.241990327835083
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.5609861967184652,0.5509990920391441,0.5663994423143952,0.5571002480997143,0.25349879264831543
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.5615070752669502,0.5491618501250345,0.5657023353084698,0.5545577202502743,0.2395024299621582
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.5795641982811008,0.5833907047115403,0.5705820843499477,0.5761142247131038,1.629997968673706
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.5901553954336314,0.5789448046248638,0.5831300104566051,0.574115341656041,1.57450270652771
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.5900685823422172,0.5723800883883016,0.6002091321017776,0.5851132758058298,2.784152030944824
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.5828630957548399,0.5754801872144331,0.585569884977344,0.5795762535954689,2.821232557296753
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.5736609080649362,0.5794182453095402,0.57859881491809,0.5864217299765738,0.440507173538208
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.5879850681482768,0.5900662798512806,0.5806901359358662,0.5841480591880912,0.4295003414154053
